replicate,db_nodes,strategy,tpq,intra,job_id
1,1,dynamic,96,1,2618448
1,3,dynamic,32,3,2618449
1,4,dynamic,24,4,2618450
1,5,dynamic,19,6,2618451
1,6,dynamic,16,6,2618452
1,7,dynamic,13,8,2618453
1,8,dynamic,12,8,2618454
1,3,tpq_only,96,1,2618455
1,4,tpq_only,96,1,2618456
1,5,tpq_only,96,1,2618457
1,6,tpq_only,96,1,2618458
1,7,tpq_only,96,1,2618459
1,8,tpq_only,96,1,2618460
1,3,intra_only,1,96,2618461
1,4,intra_only,1,96,2618462
1,5,intra_only,1,96,2618463
1,6,intra_only,1,96,2618464
1,7,intra_only,1,96,2618465
1,8,intra_only,1,96,2618466
2,3,intra_only,1,96,2618467
2,4,intra_only,1,96,2618469
2,5,intra_only,1,96,2618470
2,6,intra_only,1,96,2618471
2,7,intra_only,1,96,2618472
2,8,intra_only,1,96,2618473
2,1,dynamic,96,1,2618474
2,3,dynamic,32,3,2618475
2,4,dynamic,24,4,2618476
2,5,dynamic,19,6,2618477
2,6,dynamic,16,6,2618478
2,7,dynamic,13,8,2618480
2,8,dynamic,12,8,2618481
2,3,tpq_only,96,1,2618482
2,4,tpq_only,96,1,2618483
2,5,tpq_only,96,1,2618484
2,6,tpq_only,96,1,2618485
2,7,tpq_only,96,1,2618486
2,8,tpq_only,96,1,2618487
3,3,tpq_only,96,1,2618488
3,4,tpq_only,96,1,2618489
3,5,tpq_only,96,1,2618490
3,6,tpq_only,96,1,2618491
3,7,tpq_only,96,1,2618492
3,8,tpq_only,96,1,2618493
3,3,intra_only,1,96,2618494
3,4,intra_only,1,96,2618495
3,5,intra_only,1,96,2618496
3,6,intra_only,1,96,2618497
3,7,intra_only,1,96,2618498
3,8,intra_only,1,96,2618499
3,1,dynamic,96,1,2618500
3,3,dynamic,32,3,2618501
3,4,dynamic,24,4,2618502
3,5,dynamic,19,6,2618503
3,6,dynamic,16,6,2618504
3,7,dynamic,13,8,2618505
3,8,dynamic,12,8,2618506
4,1,dynamic,96,1,2618507
4,3,dynamic,32,3,2618508
4,4,dynamic,24,4,2618509
4,5,dynamic,19,6,2618510
4,6,dynamic,16,6,2618511
4,7,dynamic,13,8,2618512
4,8,dynamic,12,8,2618513
4,3,tpq_only,96,1,2618514
4,4,tpq_only,96,1,2618515
4,5,tpq_only,96,1,2618516
4,6,tpq_only,96,1,2618517
4,7,tpq_only,96,1,2618518
4,8,tpq_only,96,1,2618519
4,3,intra_only,1,96,2618520
4,4,intra_only,1,96,2618521
4,5,intra_only,1,96,2618522
4,6,intra_only,1,96,2618523
4,7,intra_only,1,96,2618524
4,8,intra_only,1,96,2618525
5,3,intra_only,1,96,2618526
5,4,intra_only,1,96,2618527
5,5,intra_only,1,96,2618528
5,6,intra_only,1,96,2618529
5,7,intra_only,1,96,2618530
5,8,intra_only,1,96,2618531
5,1,dynamic,96,1,2618532
5,3,dynamic,32,3,2618533
5,4,dynamic,24,4,2618534
5,5,dynamic,19,6,2618535
5,6,dynamic,16,6,2618536
5,7,dynamic,13,8,2618537
5,8,dynamic,12,8,2618538
5,3,tpq_only,96,1,2618539
5,4,tpq_only,96,1,2618541
5,5,tpq_only,96,1,2618542
5,6,tpq_only,96,1,2618543
5,7,tpq_only,96,1,2618544
5,8,tpq_only,96,1,2618545
6,3,tpq_only,96,1,2618546
6,4,tpq_only,96,1,2618547
6,5,tpq_only,96,1,2618548
6,6,tpq_only,96,1,2618549
2618578
